Date_0,AbReturn_0,Event_Type_0,Date_1,AbReturn_1,Event_Type_1,Date_2,AbReturn_2,Event_Type_2,Date_3,AbReturn_3,Event_Type_3,Date_4,AbReturn_4,Event_Type_4,Date_5,AbReturn_5,Event_Type_5,Date_6,AbReturn_6,Event_Type_6,Date_7,AbReturn_7,Event_Type_7,Date_8,AbReturn_8,Event_Type_8,Date_9,AbReturn_9,Event_Type_9,Date_10,AbReturn_10,Event_Type_10,Date_11,AbReturn_11,Event_Type_11,Date_12,AbReturn_12,Event_Type_12,Date_13,AbReturn_13,Event_Type_13,Date_14,AbReturn_14,Event_Type_14,Date_15,AbReturn_15,Event_Type_15,Date_16,AbReturn_16,Event_Type_16,Date_17,AbReturn_17,Event_Type_17,Date_18,AbReturn_18,Event_Type_18,Date_19,AbReturn_19,Event_Type_19
2014-02-20,-0.0048325383126174605,RUSSIA,2014-11-20,0.012316375744005252,OPEC,2015-12-11,-0.0356986469942436,DOE,2016-09-21,0.009285827373846514,OPEC,2016-11-22,-0.003003031889496818,OPEC,2017-08-24,0.00749448517720315,DOE,2018-12-24,-0.01293438353670914,OPEC,2020-03-02,-0.022915575957866915,OPEC,2020-04-03,0.03336131314909746,OPEC,2020-04-13,0.02303040756420143,OIL_CRASH,2021-02-12,0.013542714573722171,RUSSIA,2021-11-08,0.005608861014609305,RUSSIA,2021-11-16,-0.0060440166931359385,DOE,2022-02-16,-0.00009805157731973503,RUSSIA,2022-03-24,-0.0056440300877459125,DOE,2022-09-28,0.03365931944585763,DOE,2022-09-28,0.03365931944585763,OPEC,2023-03-27,0.01848627192982693,OPEC,2024-02-27,0.0007593528207160368,DOE,2024-05-24,-0.0072143566258560735,OPEC
2014-02-21,-0.002316728666803053,RUSSIA,2014-11-21,0.0026229756749152604,OPEC,2015-12-14,-0.02506512205869196,DOE,2016-09-22,-0.005337799042380773,OPEC,2016-11-23,0.0045713016373807895,OPEC,2017-08-25,-0.0025966683600095004,DOE,2018-12-26,0.0187448266771508,OPEC,2020-03-03,0.008847625653674793,OPEC,2020-04-06,-0.023281944345233348,OPEC,2020-04-14,-0.03623256765059626,OIL_CRASH,2021-02-16,0.027666543186942345,RUSSIA,2021-11-09,0.0016432114974961674,RUSSIA,2021-11-17,-0.022696602331924956,DOE,2022-02-17,0.02088458470947037,RUSSIA,2022-03-25,0.03005889286772296,DOE,2022-09-29,0.018252506321412416,DOE,2022-09-29,0.018252506321412416,OPEC,2023-03-28,0.01573024239415052,OPEC,2024-02-28,-0.002854379474855068,DOE,2024-05-28,0.008811894424616384,OPEC
2014-02-24,0.004030958053411439,RUSSIA,2014-11-24,-0.009341419429910942,OPEC,2015-12-15,-0.003534363805973169,DOE,2016-09-23,-0.01149805955037551,OPEC,2016-11-25,-0.012383401380191165,OPEC,2017-08-28,-0.005884104269748394,DOE,2018-12-27,-0.010388640384542173,OPEC,2020-03-04,-0.03699979477674414,OPEC,2020-04-07,0.030861444349436277,OPEC,2020-04-15,-0.023635398781730814,OIL_CRASH,2021-02-17,0.011603525193529996,RUSSIA,2021-11-10,-0.019105325978976177,RUSSIA,2021-11-18,-0.005584173617727033,DOE,2022-02-18,-0.0021051767086406204,RUSSIA,2022-03-28,-0.02998685443575702,DOE,2022-09-30,0.015261321375894091,DOE,2022-09-30,0.015261321375894091,OPEC,2023-03-29,-0.00430400420379622,OPEC,2024-02-29,0.003802551360485096,DOE,2024-05-29,-0.00996615004932494,OPEC
2014-02-25,0.002534942742424145,RUSSIA,2014-11-25,-0.0090597190909611,OPEC,2015-12-16,-0.020507118927783348,DOE,2016-09-26,0.0012806929359197444,OPEC,2016-11-28,-0.013928070497495039,OPEC,2017-08-29,-0.004969864926131827,DOE,2018-12-28,-0.008376763960306725,OPEC,2020-03-05,-0.0009360718800833362,OPEC,2020-04-08,0.027063162164404124,OPEC,2020-04-16,-0.054657672316699754,OIL_CRASH,2021-02-18,-0.0281460995135414,RUSSIA,2021-11-11,0.011683658863470515,RUSSIA,2021-11-19,-0.03388083547706444,DOE,2022-02-22,-0.00744343530024728,RUSSIA,2022-03-29,-0.014641028866289683,DOE,2022-10-03,0.02039233008226481,DOE,2022-10-03,0.02039233008226481,OPEC,2023-03-30,-0.004093067882596916,OPEC,2024-03-01,0.00303810462801782,DOE,2024-05-30,0.011748079941942078,OPEC
2014-02-26,-0.0064797185421395275,RUSSIA,2014-11-26,-0.010027419923094754,OPEC,2015-12-17,-0.011648094474634094,DOE,2016-09-27,-0.016612537559417738,OPEC,2016-11-29,-0.017424720011785355,OPEC,2017-08-30,-0.0016694497981418208,DOE,2018-12-31,-0.0018834142380958624,OPEC,2020-03-06,-0.04650484669500525,OPEC,2020-04-09,0.004768613357904308,OPEC,2020-04-17,0.07706465319140382,OIL_CRASH,2021-02-19,0.02565628127443597,RUSSIA,2021-11-12,-0.009875366141486932,RUSSIA,2021-11-22,0.016258135019199912,DOE,2022-02-23,0.02565293189893749,RUSSIA,2022-03-30,0.02138860841703086,DOE,2022-10-04,0.008427179461109706,DOE,2022-10-04,0.008427179461109706,OPEC,2023-03-31,-0.006210611055487968,OPEC,2024-03-04,-0.0037493118034954307,DOE,2024-05-31,0.01233138412233417,OPEC
2014-02-27,-0.01229079945912952,RUSSIA,2014-11-28,-0.07148147447732213,OPEC,2015-12-18,-0.0010111525354684174,DOE,2016-09-28,0.03867402199147948,OPEC,2016-11-30,0.05885289693986379,OPEC,2017-08-31,0.009114278472346068,DOE,2019-01-02,0.02475073046291499,OPEC,2020-03-09,-0.1726968885344737,OPEC,2020-04-13,0.02303040756420143,OPEC,2020-04-20,0.001626111623159985,OIL_CRASH,2021-02-22,0.03885184969636485,RUSSIA,2021-11-15,0.006205804006623136,RUSSIA,2021-11-23,0.029634017931419628,DOE,2022-02-24,-0.01663421368880812,RUSSIA,2022-03-31,0.007904464864278295,DOE,2022-10-05,0.014003844714936707,DOE,2022-10-05,0.014003844714936707,OPEC,2023-04-03,0.03342317041404124,OPEC,2024-03-05,0.017912536297073962,DOE,2024-06-03,-0.02490214443127302,OPEC
2014-02-28,-0.0036320329221705425,RUSSIA,2014-12-01,-0.0029659822826877836,OPEC,2015-12-21,0.00433140495651076,DOE,2016-09-29,0.007185872197454599,OPEC,2016-12-01,0.008665277111910487,OPEC,2017-09-01,0.013255890658428058,DOE,2019-01-03,0.025082259985555664,OPEC,2020-03-10,0.015404305580576066,OPEC,2020-04-14,-0.03623256765059626,OPEC,2020-04-21,0.021402640248969478,OIL_CRASH,2021-02-23,0.012789087026734616,RUSSIA,2021-11-16,-0.0060440166931359385,RUSSIA,2021-11-24,0.012059669260142198,DOE,2022-02-25,-0.004650718911472267,RUSSIA,2022-04-01,0.009933641187551327,DOE,2022-10-06,0.01808713064775569,DOE,2022-10-06,0.01808713064775569,OPEC,2023-04-04,-0.014463276745592932,OPEC,2024-03-06,-0.002815660656216167,DOE,2024-06-04,-0.007821207194165705,OPEC
2014-03-03,0.008407295768019508,RUSSIA,2014-12-02,-0.0022175529362238,OPEC,2015-12-22,0.003694096604963887,DOE,2016-09-30,0.0031159976311141823,OPEC,2016-12-02,-0.0003412785964029269,OPEC,2017-09-05,0.003614989192039705,DOE,2019-01-04,0.0015110528039679605,OPEC,2020-03-11,-0.008264983379380385,OPEC,2020-04-15,-0.023635398781730814,OPEC,2020-04-22,0.011668563384277787,OIL_CRASH,2021-02-24,0.02800598659927844,RUSSIA,2021-11-17,-0.022696602331924956,RUSSIA,2021-11-26,-0.01814019979040717,DOE,2022-02-28,0.0410615150305304,RUSSIA,2022-04-04,-0.008134652560931946,DOE,2022-10-07,0.023879925371899396,DOE,2022-10-07,0.023879925371899396,OPEC,2023-04-05,0.018849609663651644,OPEC,2024-03-07,-0.005765202846227029,DOE,2024-06-05,-0.012761297323277349,OPEC
2014-03-04,-0.004338593050558439,RUSSIA,2014-12-03,0.008289523346365566,OPEC,2015-12-23,0.06039652218220448,DOE,2016-10-03,0.0016911985340354293,OPEC,2016-12-05,0.02058674835006704,OPEC,2017-09-06,0.007936790745238665,DOE,2019-01-07,0.00878712934977116,OPEC,2020-03-12,-0.009971046476549367,OPEC,2020-04-16,-0.054657672316699754,OPEC,2020-04-23,0.04250250202252285,OIL_CRASH,2021-02-25,0.005510196717921002,RUSSIA,2021-11-18,-0.005584173617727033,RUSSIA,2021-11-29,-0.010633787066782668,DOE,2022-03-01,0.031477669492692255,RUSSIA,2022-04-05,-0.0038836950985372213,DOE,2022-10-10,-0.011497262097980944,DOE,2022-10-10,-0.011497262097980944,OPEC,2023-04-06,-0.0158967115814108,OPEC,2024-03-08,0.009076987644090737,DOE,2024-06-06,0.004026042076951841,OPEC
2014-03-05,-0.0006559070284780153,RUSSIA,2014-12-04,-0.014243189192180188,OPEC,2015-12-24,-0.008385647257675224,DOE,2016-10-04,-0.007717030330758565,OPEC,2016-12-06,-0.0022622644398606513,OPEC,2017-09-07,0.0005385638541624384,DOE,2019-01-08,0.0023468030075609343,OPEC,2020-03-13,0.006665632983500619,OPEC,2020-04-17,0.07706465319140382,OPEC,2020-04-24,-0.007907752904374614,OIL_CRASH,2021-02-26,-0.015130348951684101,RUSSIA,2021-11-19,-0.03388083547706444,RUSSIA,2021-11-30,-0.005758618058072082,DOE,2022-03-02,0.003935566883316345,RUSSIA,2022-04-06,0.013422710872909251,DOE,2022-10-11,0.0025988782761729046,DOE,2022-10-11,0.0025988782761729046,OPEC,2023-04-10,0.011127846671498746,OPEC,2024-03-11,0.006344420581829491,DOE,2024-06-07,-0.004156221337123978,OPEC
