Date,w,z_value,p_value,Test_For_Significance,Event_Type
2014-02-27,4,-1.0380297816083257,0.2992561901620495,NOT SIGNIFICANT,RUSSIA
2014-11-28,3,-1.6415354685899102,0.10068631071603044,NOT SIGNIFICANT,OPEC
2015-12-18,3,-1.6415354685899102,0.10068631071603044,NOT SIGNIFICANT,DOE
2016-09-28,7,0.7724872793364277,0.4398258781657082,NOT SIGNIFICANT,OPEC
2016-11-30,4,-1.0380297816083257,0.2992561901620495,NOT SIGNIFICANT,OPEC
2017-08-31,6,0.16898159235484325,0.865811120347786,NOT SIGNIFICANT,DOE
2019-01-02,7,0.7724872793364277,0.4398258781657082,NOT SIGNIFICANT,OPEC
2020-03-09,4,-1.0380297816083257,0.2992561901620495,NOT SIGNIFICANT,OPEC
2020-04-13,7,0.7724872793364277,0.4398258781657082,NOT SIGNIFICANT,OPEC
2020-04-20,7,0.7724872793364277,0.4398258781657082,NOT SIGNIFICANT,OIL_CRASH
2021-02-22,9,1.9794986532995966,0.047759891116200555,SIGNIFICANT,RUSSIA
2021-11-15,5,-0.4345240946267412,0.6639079018776486,NOT SIGNIFICANT,RUSSIA
2021-11-23,3,-1.6415354685899102,0.10068631071603044,NOT SIGNIFICANT,DOE
2022-02-24,6,0.16898159235484325,0.865811120347786,NOT SIGNIFICANT,RUSSIA
2022-03-31,6,0.16898159235484325,0.865811120347786,NOT SIGNIFICANT,DOE
2023-04-03,6,0.16898159235484325,0.865811120347786,NOT SIGNIFICANT,OPEC
2024-03-05,6,0.16898159235484325,0.865811120347786,NOT SIGNIFICANT,DOE
2024-06-03,5,-0.4345240946267412,0.6639079018776486,NOT SIGNIFICANT,OPEC
